,Baseline,Strict-Strict,Loose-Loose,Strict-Loose,Loose-Strict
1,0.0002,0.0005,0,0.0001,0.0001
2,0.0005,0.001,0.0001,0.0005,0.0001
3,0.001,0.0018,0.0001,0.0005,0.0001
4,0.001,0.004,0.0001,0.0022,0.0005
5,0.0027,0.0077,0.0002,0.0046,0.0006
6,0.0037,0.0192,0.0005,0.0089,0.0008
7,0.0108,0.0316,0.0006,0.0111,0.0019
8,0.0166,0.09,0.0011,0.0306,0.0081
9,0.072,0.2583,0.0118,0.0852,0.0295
10,0.205,0.6269,0.0374,0.1969,0.1052
11,0.5595,0.7592,0.1202,0.6302,0.6196
12,0.612,0.7614,0.5995,0.642,0.626
13,0.6417,0.7713,0.6267,0.6582,0.6278
14,0.6431,0.7866,0.6328,0.6665,0.6392
15,0.6551,0.8217,0.6348,0.6827,0.659
16,0.6644,0.834,0.6578,0.7056,0.6663
17,0.6944,0.8796,0.6885,0.7428,0.6704
18,0.7188,0.9292,0.7202,0.7726,0.736
19,0.7649,0.955,0.7387,0.826,0.8124
20,0.7868,0.963,0.7843,0.8429,0.8135
21,0.7991,0.9871,0.8126,0.8599,0.8483
22,0.8128,0.9915,0.8209,0.8745,0.86
23,0.8346,0.9923,0.831,0.9088,0.8816
24,0.891,0.9967,0.8521,0.9652,0.8985
25,0.9488,0.9981,0.8796,0.9722,0.9074
26,0.9672,0.998,0.9019,0.9946,0.9522
27,0.9825,0.998,0.9344,0.996,0.9603
28,0.9891,0.998,0.9618,0.9867,0.9818
29,0.9918,0.998,0.9886,0.9887,0.9887
