,Baseline,Strict-Strict,Loose-Loose,Strict-Loose,Loose-Strict
1,0,0.0004,0,0.0001,0.0001
2,0.0003,0.0008,0,0.0001,0.0001
3,0.0007,0.0009,0.0001,0.0005,0.0001
4,0.0008,0.0024,0.0001,0.001,0.0001
5,0.0021,0.005,0.0002,0.0023,0.0006
6,0.0029,0.0128,0.0004,0.0049,0.0008
7,0.0075,0.0223,0.0005,0.0091,0.0013
8,0.0126,0.0688,0.0006,0.0184,0.0054
9,0.0409,0.1768,0.0028,0.0497,0.0163
10,0.1554,0.4585,0.0266,0.1465,0.1148
11,0.3647,0.5778,0.0599,0.553,0.6362
12,0.5121,0.5887,0.4145,0.5773,0.7189
13,0.5186,0.597,0.561,0.5776,0.7214
14,0.5234,0.6123,0.5638,0.5998,0.7251
15,0.5273,0.6184,0.5706,0.6094,0.7422
16,0.5334,0.6334,0.586,0.6276,0.76
17,0.5769,0.6861,0.6164,0.6659,0.7606
18,0.598,0.7203,0.6287,0.6881,0.8423
19,0.639,0.7442,0.64,0.7004,0.8636
20,0.6591,0.7644,0.6936,0.7112,0.8986
21,0.7182,0.7818,0.7214,0.7529,0.9334
22,0.7667,0.7925,0.7527,0.7534,0.9481
23,0.8264,0.8613,0.7809,0.8339,0.9596
24,0.8819,0.8952,0.8488,0.8513,0.9705
25,0.9208,0.9881,0.873,0.8802,0.9797
26,0.9541,0.9916,0.8956,0.9403,0.995
27,0.9801,0.9957,0.9267,0.9749,0.9922
28,0.9854,0.998,0.9533,0.9763,0.9953
29,0.9866,0.998,0.9714,0.9779,0.9963
