,5:1,4:1,3:1,2:1,1:1,1:2,1:3,1:4,1:5
1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
2,0.0002,0.0002,0.0004,0.0004,0.0005,0.0006,0.001,0.0013,0.0019
3,0.0004,0.0004,0.0006,0.0007,0.0009,0.001,0.0012,0.0025,0.0033
4,0.0006,0.001,0.0011,0.0014,0.0018,0.002,0.0029,0.0029,0.0046
5,0.001,0.0016,0.0025,0.0026,0.0036,0.0036,0.0051,0.0053,0.0072
6,0.0021,0.0036,0.0062,0.0077,0.0082,0.0088,0.0094,0.0119,0.0139
7,0.0043,0.0083,0.0092,0.0094,0.0131,0.0143,0.0145,0.0146,0.0156
8,0.0104,0.0147,0.0157,0.0169,0.0172,0.0242,0.0291,0.0291,0.0338
9,0.015,0.0511,0.052,0.0622,0.0724,0.0859,0.13,0.1399,0.1488
10,0.0422,0.1634,0.1725,0.1743,0.1939,0.1942,0.2359,0.2925,0.3099
11,0.0954,0.2188,0.4559,0.4852,0.5437,0.5525,0.558,0.5796,0.6459
12,0.1714,0.3805,0.5871,0.6067,0.6213,0.6344,0.6382,0.6401,0.657
13,0.2439,0.3986,0.6071,0.6094,0.643,0.6447,0.6483,0.653,0.6609
14,0.3013,0.4351,0.6146,0.6322,0.6542,0.6622,0.668,0.6696,0.6725
15,0.3497,0.4619,0.6181,0.6375,0.6591,0.6723,0.6724,0.6867,0.6983
16,0.3956,0.5314,0.6593,0.6668,0.6796,0.6831,0.7055,0.7095,0.7118
17,0.4359,0.5769,0.678,0.6904,0.6988,0.7211,0.7215,0.7224,0.7281
18,0.4705,0.5863,0.7003,0.705,0.7425,0.7426,0.7475,0.7485,0.7559
19,0.5065,0.6098,0.7626,0.764,0.7649,0.7802,0.786,0.7861,0.7987
20,0.5339,0.6649,0.7903,0.7905,0.7928,0.8239,0.8265,0.8373,0.885
